,Unnamed: 0.2,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Hybrid,Flash_Storage
0,0,Apple,Ultrabook,8,Intel Iris Plus Graphics 640,macOS,1.37,71378.6832,0,1,226.98300468106115,Intel Core i5,0,128,0,0
1,1,Apple,Ultrabook,8,Intel HD Graphics 6000,macOS,1.34,47895.5232,0,0,127.67794013309688,Intel Core i5,0,0,0,128
2,2,HP,Notebook,8,Intel HD Graphics 620,No OS,1.86,30636.0,0,0,141.21199808219862,Intel Core i5,0,256,0,0
3,3,Apple,Ultrabook,16,AMD Radeon Pro 455,macOS,1.83,135195.336,0,1,220.53462386625827,Intel Core i7,0,512,0,0
4,4,Apple,Ultrabook,8,Intel Iris Plus Graphics 650,macOS,1.37,96095.808,0,1,226.98300468106115,Intel Core i5,0,256,0,0
5,5,Acer,Notebook,4,AMD Radeon R5,Windows 10,2.1,21312.0,0,0,100.45466986113652,AMD Processor,500,0,0,0
6,6,Apple,Ultrabook,16,Intel Iris Pro Graphics,Mac OS X,2.04,114017.6016,0,1,220.53462386625827,Intel Core i7,0,0,0,256
7,7,Apple,Ultrabook,8,Intel HD Graphics 6000,macOS,1.34,61735.536,0,0,127.67794013309688,Intel Core i5,0,0,0,256
8,8,Asus,Ultrabook,16,Nvidia GeForce MX150,Windows 10,1.3,79653.6,0,0,157.3505121487356,Intel Core i7,0,512,0,0
9,9,Acer,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.6,41025.6,0,1,157.3505121487356,Intel Core i5,0,256,0,0
10,10,HP,Notebook,4,Intel HD Graphics 620,No OS,1.86,20986.992,0,0,100.45466986113652,Intel Core i5,500,0,0,0
11,11,HP,Notebook,4,Intel HD Graphics 520,No OS,1.86,18381.0672,0,0,141.21199808219862,Intel Core i3,500,0,0,0
12,12,Apple,Ultrabook,16,AMD Radeon Pro 555,macOS,1.83,130001.6016,0,1,220.53462386625827,Intel Core i7,0,256,0,0
13,13,Dell,Notebook,4,AMD Radeon R5 M430,Windows 10,2.2,26581.392,0,0,141.21199808219862,Intel Core i3,0,256,0,0
14,14,Apple,Ultrabook,8,Intel HD Graphics 615,macOS,0.92,67260.672,0,1,226.4155471693585,Intel Processor,0,256,0,0
15,15,Apple,Ultrabook,8,Intel Iris Plus Graphics 640,macOS,1.37,80908.344,0,1,226.98300468106115,Intel Core i5,0,256,0,0
16,16,Dell,Notebook,8,AMD Radeon R5 M430,Windows 10,2.2,39693.6,0,0,141.21199808219862,Intel Core i7,0,256,0,0
17,17,Apple,Ultrabook,16,AMD Radeon Pro 560,macOS,1.83,152274.24,0,1,220.53462386625827,Intel Core i7,0,512,0,0
18,18,Lenovo,Notebook,8,Nvidia GeForce 940MX,No OS,2.2,26586.72,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
19,19,Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.22,52161.12,1,1,165.6321180513006,Intel Core i5,0,128,0,0
20,20,Asus,Netbook,2,Intel HD Graphics 400,Windows 10,0.98,10224.432,0,0,135.0942111925629,Intel Processor,0,0,0,32
21,21,Lenovo,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72,0,1,141.21199808219862,Intel Core i5,1000,128,0,0
22,22,HP,Notebook,4,AMD Radeon R2,No OS,1.86,13746.24,0,0,100.45466986113652,AMD Processor,500,0,0,0
23,23,Dell,2 in 1 Convertible,8,Intel UHD Graphics 620,Windows 10,1.62,43636.32,1,0,165.6321180513006,Intel Core i5,0,256,0,0
24,24,HP,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.91,35111.52,0,0,141.21199808219862,Intel Core i7,0,256,0,0
25,25,Dell,Notebook,4,Intel HD Graphics 520,Windows 10,2.3,22305.1392,0,0,100.45466986113652,Intel Core i3,1000,0,0,0
26,26,Apple,Ultrabook,8,Intel HD Graphics 6000,Mac OS X,1.35,58554.72,0,0,127.67794013309688,Intel Core i5,0,0,0,128
27,27,Dell,Notebook,8,AMD Radeon 530,Windows 10,2.2,42624.0,0,0,141.21199808219862,Intel Core i5,0,256,0,0
28,28,Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.88,69157.44,0,0,141.21199808219862,Intel Core i7,0,512,0,0
29,29,HP,Notebook,8,Nvidia GeForce 930MX,Windows 10,2.5,47738.88,0,0,127.33567457123112,Intel Core i5,1000,0,0,0
30,30,Chuwi,Notebook,4,Intel HD Graphics,Windows 10,1.89,13053.0672,0,0,141.21199808219862,Intel Processor,0,0,0,64
31,31,Asus,Notebook,2,AMD Radeon R2,Windows 10,1.65,10602.72,0,0,111.93520355955212,AMD Processor,0,0,0,32
32,32,HP,Notebook,4,AMD Radeon 530,Windows 10,2.71,23389.92,0,0,127.33567457123112,AMD Processor,500,0,0,0
33,33,Dell,Ultrabook,16,Intel UHD Graphics 620,Windows 10,1.2,99580.32,1,0,276.053530085501,Intel Core i7,0,512,0,0
34,34,Apple,Ultrabook,8,Intel HD Graphics 6000,Mac OS X,1.35,53173.44,0,0,127.67794013309688,Intel Core i5,0,0,0,256
35,35,Lenovo,Notebook,4,Intel HD Graphics 500,Windows 10,1.44,13266.72,0,0,111.93520355955212,Intel Processor,0,0,0,64
36,36,Acer,Notebook,4,Intel HD Graphics 620,Linux,2.1,19553.76,0,0,100.45466986113652,Intel Core i3,1000,0,0,0
37,37,Dell,Notebook,8,AMD Radeon 530,Windows 10,2.8,52161.12,0,1,127.33567457123112,Intel Core i5,1000,128,0,0
